Job Title,Company,Location,Salary,Date Posted,Closing Date,Job URL,Job ID,Date Scraped,Source Website
Senior Credit Controller,Ducray Lenoir Ltd,Port Louis,Not disclosed, 10/07/2025, 20/07/2025,https://www.myjob.mu/Jobs/Senior-Credit-Controller-194916.aspx,194916,11/07/2025 22:00,myjob.mu
Pharmacy Dispenser Pereybere,Hidden Company,Pamplemousses,"10,000 - 20,000", 09/07/2025, 08/08/2025,https://www.myjob.mu/Jobs/Pharmacy-Dispenser-Pereybere-194873.aspx,194873,11/07/2025 22:00,myjob.mu
Beauty Advisor,Ducray Lenoir Ltd,Mauritius,Not disclosed, 07/07/2025, 14/07/2025,https://www.myjob.mu/Jobs/Beauty-Advisor-194688.aspx,194688,11/07/2025 22:00,myjob.mu
Junior Regulatory Associate,Aspen Global Incorporated Mauritius,Riviere du Rempart,Negotiable, 01/07/2025, 31/07/2025,https://www.myjob.mu/Jobs/Junior-Regulatory-Associate-194351.aspx,194351,11/07/2025 22:00,myjob.mu
Invoicing clerk,Anichem Pharmacy Co Ltd,Port Louis,"21,000 - 30,000", 30/06/2025, 30/07/2025,https://www.myjob.mu/Jobs/Invoicing-clerk-194205.aspx,194205,11/07/2025 22:00,myjob.mu
Customer Support Specialist (German Speaker),AVANTOR,Plaine Wilhems,Negotiable, 27/06/2025, 27/07/2025,https://www.myjob.mu/Jobs/Customer-Support-Specialist-German-Speaker-194158.aspx,194158,11/07/2025 22:00,myjob.mu
Business Development Manager - Private Pharma/VET/OTC,Ducray Lenoir Ltd,Port Louis,Not disclosed, 27/06/2025, 13/07/2025,https://www.myjob.mu/Jobs/Business-Development-Manager-Private-Pharma-194089.aspx,194089,11/07/2025 22:00,myjob.mu
Category Coordinator,HEALTHACTIV,Port Louis,Negotiable, 26/06/2025, 26/07/2025,https://www.myjob.mu/Jobs/Category-Coordinator-194069.aspx,194069,11/07/2025 22:00,myjob.mu
Secretary / Administrative Assistant,A.E. Patel & Co,Port Louis,Negotiable, 17/06/2025, 17/07/2025,https://www.myjob.mu/Jobs/Secretary-Administrative-Assistant-193612.aspx,193612,11/07/2025 22:00,myjob.mu
Lab Operator,R. Mathieu (Opticians) Ltd,Plaine Wilhems,Negotiable, 17/06/2025, 17/07/2025,https://www.myjob.mu/Jobs/Lab-Operator-193555.aspx,193555,11/07/2025 22:00,myjob.mu
Medical Representative,Mauripharm Ltd,Port Louis,"21,000 - 30,000", 16/06/2025, 16/07/2025,https://www.myjob.mu/Jobs/Medical-Representative-193519.aspx,193519,11/07/2025 22:00,myjob.mu
